title,publication_date,file_path,duration,file_size,,New Title,
"Streaming ADDS for Tuesday, March 19 to Win Your Fantasy Playoffs",2024-03-19 19:16:25+00:00,Fantasy NBA Today/Streaming ADDS for Tuesday March 19 to Win Your Fantasy Playoffs.mp3,0:21:55,20.15,,Streaming ADDS for Tuesday March 19 to Win Your Fantasy Playoffs,
Josh Hart Plays All 48 Minutes,2024-03-19 16:51:36+00:00,Fantasy NBA Today/Josh Hart Plays All 48 Minutes.mp3,0:47:00,43.13,,Josh Hart Plays All 48 Minutes,
"Week 22 WINNING Guide to Fantasy Basketball - Streaming, Injuries, Start/Sit",2024-03-18 18:28:14+00:00,Fantasy NBA Today/Week 22 WINNING Guide to Fantasy Basketball - Streaming Injuries StartSit.mp3,0:30:20,27.87,,Week 22 WINNING Guide to Fantasy Basketball - Streaming Injuries StartSit,
Must Adds for Fantasy Basketball Week 22,2024-03-18 17:45:47+00:00,Fantasy NBA Today/Must Adds for Fantasy Basketball Week 22.mp3,0:45:31,41.77,,Must Adds for Fantasy Basketball Week 22,
Adds List for STREAMING Sunday March 17 and Beyond,2024-03-17 18:11:25+00:00,Fantasy NBA Today/Adds List for STREAMING Sunday March 17 and Beyond.mp3,0:13:04,12.04,,Adds List for STREAMING Sunday March 17 and Beyond,
"Maxing Out Games Played for Saturday, March 16 and Beyond",2024-03-16 15:43:47+00:00,Fantasy NBA Today/Maxing Out Games Played for Saturday March 16 and Beyond.mp3,0:18:44,17.23,,Maxing Out Games Played for Saturday March 16 and Beyond,
"Week 21 Fantasy Basketball Recap | Adds, Stashes & Silly Season League Winners",2024-03-15 21:32:13+00:00,Fantasy NBA Today/Week 21 Fantasy Basketball Recap  Adds Stashes  Silly Season League Winners.mp3,0:37:35,34.51,,Week 21 Fantasy Basketball Recap  Adds Stashes  Silly Season League Winners,
Stash & Add List for MAX GAMES to Win Your Playoffs for March 15,2024-03-15 16:12:43+00:00,Fantasy NBA Today/Stash  Add List for MAX GAMES to Win Your Playoffs for March 15.mp3,0:28:27,26.13,,Stash  Add List for MAX GAMES to Win Your Playoffs for March 15,
GO TIME! Schedule Analysis and Streaming for March 14,2024-03-14 21:51:06+00:00,Fantasy NBA Today/GO TIME Schedule Analysis and Streaming for March 14.mp3,0:17:18,15.92,,GO TIME Schedule Analysis and Streaming for March 14,
"Luka Hurt, Daniel Gafford UNLEASHED",2024-03-14 17:51:07+00:00,Fantasy NBA Today/Luka Hurt Daniel Gafford UNLEASHED.mp3,0:48:30,44.51,,Luka Hurt Daniel Gafford UNLEASHED,
"Win Those Playoffs! Schedule Guide for Wednesday, March 13",2024-03-13 21:18:51+00:00,Fantasy NBA Today/Win Those Playoffs Schedule Guide for Wednesday March 13.mp3,0:23:51,21.93,,Win Those Playoffs Schedule Guide for Wednesday March 13,
"How Hurt is Kawhi, and is Desmond Bane Back",2024-03-13 18:54:04+00:00,Fantasy NBA Today/How Hurt is Kawhi and is Desmond Bane Back.mp3,0:33:22,30.64,,How Hurt is Kawhi and is Desmond Bane Back,
"Win YOUR Head-to-Head Fantasy Basketball Playoffs | Schedules for Tuesday, March 12",2024-03-12 20:06:54+00:00,Fantasy NBA Today/Win YOUR Head-to-Head Fantasy Basketball Playoffs  Schedules for Tuesday March 12.mp3,0:21:53,20.12,,Win YOUR Head-to-Head Fantasy Basketball Playoffs  Schedules for Tuesday March 12,
LUKA DIDN'T SCORE 35 & Great Adds from Injuries,2024-03-12 16:51:05+00:00,Fantasy NBA Today/LUKA DIDNT SCORE 35  Great Adds from Injuries.mp3,0:41:06,37.73,,LUKA DIDNT SCORE 35  Great Adds from Injuries,
"Week 21 Preview | Playoff Winning Guide, Strategy",2024-03-11 20:31:07+00:00,Fantasy NBA Today/Week 21 Preview  Playoff Winning Guide Strategy.mp3,0:20:20,18.7,,Week 21 Preview  Playoff Winning Guide Strategy,
"Must Adds for Week 20 (or 21) & Sengun, Bey Injuries",2024-03-11 18:29:52+00:00,Fantasy NBA Today/Must Adds for Week 20 or 21  Sengun Bey Injuries.mp3,0:52:09,47.86,,Must Adds for Week 20 or 21  Sengun Bey Injuries,
How to Win Your Playoffs Guide for March 9,2024-03-09 21:17:50+00:00,Fantasy NBA Today/How to Win Your Playoffs Guide for March 9.mp3,0:16:31,15.2,,How to Win Your Playoffs Guide for March 9,
Playoffs Guide for March 8,2024-03-08 21:19:28+00:00,Fantasy NBA Today/Playoffs Guide for March 8.mp3,0:09:28,8.74,,Playoffs Guide for March 8,
"Week 20 Fantasy Basketball Recap | Adds, Stashes & Silly Season League Winners",2024-03-08 18:23:04+00:00,Fantasy NBA Today/Week 20 Fantasy Basketball Recap  Adds Stashes  Silly Season League Winners.mp3,0:45:35,41.84,,Week 20 Fantasy Basketball Recap  Adds Stashes  Silly Season League Winners,
"Head-to-Head Playoffs Fantasy Basketball Schedule Guide | Thursday, March 7, 2024",2024-03-07 22:36:39+00:00,Fantasy NBA Today/Head-to-Head Playoffs Fantasy Basketball Schedule Guide  Thursday March 7 2024.mp3,0:15:55,14.65,,Head-to-Head Playoffs Fantasy Basketball Schedule Guide  Thursday March 7 2024,
BREAKING NEWS SHOW: Towns Has Torn Meniscus,2024-03-07 18:49:31+00:00,Fantasy NBA Today/BREAKING NEWS SHOW Towns Has Torn Meniscus.mp3,0:49:20,45.28,,BREAKING NEWS SHOW Towns Has Torn Meniscus,
"Head-to-Head Playoffs Guide for March 6, 2024",2024-03-06 22:18:26+00:00,Fantasy NBA Today/Head-to-Head Playoffs Guide for March 6 2024.mp3,0:16:45,15.42,,Head-to-Head Playoffs Guide for March 6 2024,
"KELLY OLYNYK, LEAGUE WINNER? Fantasy Basketball Wednesday",2024-03-06 18:30:07+00:00,Fantasy NBA Today/KELLY OLYNYK LEAGUE WINNER Fantasy Basketball Wednesday.mp3,0:45:00,41.3,,KELLY OLYNYK LEAGUE WINNER Fantasy Basketball Wednesday,
"Head-to-Head Playoff Schedule Guide for Tuesday, March 5",2024-03-05 22:26:52+00:00,Fantasy NBA Today/Head-to-Head Playoff Schedule Guide for Tuesday March 5.mp3,0:15:04,13.87,,Head-to-Head Playoff Schedule Guide for Tuesday March 5,
"Rest of Season ADDS for Fantasy Basketball, Monday Recap",2024-03-05 19:04:48+00:00,Fantasy NBA Today/Rest of Season ADDS for Fantasy Basketball Monday Recap.mp3,0:38:15,35.12,,Rest of Season ADDS for Fantasy Basketball Monday Recap,
"Week 20 Preview Fantasy Basketball | Playoff Streaming Guide, Strategy",2024-03-04 22:43:52+00:00,Fantasy NBA Today/Week 20 Preview Fantasy Basketball  Playoff Streaming Guide Strategy.mp3,0:18:22,16.9,,Week 20 Preview Fantasy Basketball  Playoff Streaming Guide Strategy,
Must Adds for Week 20 Fantasy Basketball,2024-03-04 19:06:30+00:00,Fantasy NBA Today/Must Adds for Week 20 Fantasy Basketball.mp3,0:46:05,42.29,,Must Adds for Week 20 Fantasy Basketball,
"Head-to-Head Playoff Daily Schedule Guide, March 1",2024-03-01 22:08:56+00:00,Fantasy NBA Today/Head-to-Head Playoff Daily Schedule Guide March 1.mp3,0:15:55,14.65,,Head-to-Head Playoff Daily Schedule Guide March 1,
"Week 19 Fantasy Basketball Recap | Adds, Drops & Silly Season Stashes",2024-03-01 18:52:22+00:00,Fantasy NBA Today/Week 19 Fantasy Basketball Recap  Adds Drops  Silly Season Stashes.mp3,0:33:24,30.67,,Week 19 Fantasy Basketball Recap  Adds Drops  Silly Season Stashes,
LeBron is a Cyborg & Grizzlies Have a Rotation Now?,2024-02-29 17:36:20+00:00,Fantasy NBA Today/LeBron is a Cyborg  Grizzlies Have a Rotation Now.mp3,0:36:08,33.19,,LeBron is a Cyborg  Grizzlies Have a Rotation Now,
Max Strus GAME WINNER & Chris Paul's Back!,2024-02-28 18:15:56+00:00,Fantasy NBA Today/Max Strus GAME WINNER  Chris Pauls Back.mp3,0:45:44,41.97,,Max Strus GAME WINNER  Chris Pauls Back,
Let's Go Add Kelly Olynyk!,2024-02-27 17:28:22+00:00,Fantasy NBA Today/Lets Go Add Kelly Olynyk.mp3,0:34:00,31.22,,Lets Go Add Kelly Olynyk,
"Week 19 Fantasy Basketball Preview: Streamers, Schedule, Playoffs, More!",2024-02-26 21:20:24+00:00,Fantasy NBA Today/Week 19 Fantasy Basketball Preview Streamers Schedule Playoffs More.mp3,0:31:03,28.52,,Week 19 Fantasy Basketball Preview Streamers Schedule Playoffs More,
Fantasy Basketball ADDS for Week 19 & ALL 30-Team Weekend Review,2024-02-26 18:19:50+00:00,Fantasy NBA Today/Fantasy Basketball ADDS for Week 19  ALL 30-Team Weekend Review.mp3,0:49:46,45.68,,Fantasy Basketball ADDS for Week 19  ALL 30-Team Weekend Review,
"Time to ADD Taylor Hendricks? | Bane, Smart Injury Updates",2024-02-23 17:58:51+00:00,Fantasy NBA Today/Time to ADD Taylor Hendricks  Bane Smart Injury Updates.mp3,0:49:05,45.04,,Time to ADD Taylor Hendricks  Bane Smart Injury Updates,
Playoff Preview & Strategy and Week 18 Streamers to ADD,2024-02-22 20:00:47+00:00,Fantasy NBA Today/Playoff Preview  Strategy and Week 18 Streamers to ADD.mp3,0:34:00,31.22,,Playoff Preview  Strategy and Week 18 Streamers to ADD,
Second Half STASH Players for Fantasy Basketball,2024-02-21 19:47:57+00:00,Fantasy NBA Today/Second Half STASH Players for Fantasy Basketball.mp3,0:36:35,33.59,,Second Half STASH Players for Fantasy Basketball,
Shutdown Risks to AVOID & Other Sell High Fantasy Basketball Players,2024-02-20 21:42:55+00:00,Fantasy NBA Today/Shutdown Risks to AVOID  Other Sell High Fantasy Basketball Players.mp3,0:35:31,32.61,,Shutdown Risks to AVOID  Other Sell High Fantasy Basketball Players,
NBA All-Star Weekend is Broken | Can it be fixed?,2024-02-19 22:25:09+00:00,Fantasy NBA Today/NBA All-Star Weekend is Broken  Can it be fixed.mp3,0:35:49,32.88,,NBA All-Star Weekend is Broken  Can it be fixed,
All Star Break Time | Week 17 Fantasy Basketball Recap | Post-Break Stashes!,2024-02-16 22:41:26+00:00,Fantasy NBA Today/All Star Break Time  Week 17 Fantasy Basketball Recap  Post-Break Stashes.mp3,0:47:28,43.56,,All Star Break Time  Week 17 Fantasy Basketball Recap  Post-Break Stashes,
"Buy or Sell: Buddy Hield, Tre Mann | Fantasy Basketball Thursday | Rui & Advija Big Games",2024-02-15 20:03:32+00:00,Fantasy NBA Today/Buy or Sell Buddy Hield Tre Mann  Fantasy Basketball Thursday  Rui  Advija Big Games.mp3,0:43:04,39.53,,Buy or Sell Buddy Hield Tre Mann  Fantasy Basketball Thursday  Rui  Advija Big Games,
"Add, Drop or Hold: Schroder, Fontecchio, Dinwiddie",2024-02-14 19:09:58+00:00,Fantasy NBA Today/Add Drop or Hold Schroder Fontecchio Dinwiddie.mp3,0:32:22,29.73,,Add Drop or Hold Schroder Fontecchio Dinwiddie,
"Should We Add Tre Mann, Grant Williams or Kelly Olynyk",2024-02-13 18:28:21+00:00,Fantasy NBA Today/Should We Add Tre Mann Grant Williams or Kelly Olynyk.mp3,0:53:10,48.79,,Should We Add Tre Mann Grant Williams or Kelly Olynyk,
"Fantasy Basketball ADDS for Week 17 (and 18), Trade Deadline Analysis & All Star Break Strategy",2024-02-12 20:32:24+00:00,Fantasy NBA Today/Fantasy Basketball ADDS for Week 17 and 18 Trade Deadline Analysis  All Star Break Strategy.mp3,0:57:21,52.63,,Fantasy Basketball ADDS for Week 17 and 18 Trade Deadline Analysis  All Star Break Strategy,
Trade Deadline MUST ADDS & Impact Players for Fantasy Basketball,2024-02-11 17:51:06+00:00,Fantasy NBA Today/Trade Deadline MUST ADDS  Impact Players for Fantasy Basketball.mp3,0:25:39,23.58,,Trade Deadline MUST ADDS  Impact Players for Fantasy Basketball,
"Trade Deadline Fallout | Week 16 Fantasy Basketball Recap | Stashes, Adds, Drops",2024-02-09 20:29:43+00:00,Fantasy NBA Today/Trade Deadline Fallout  Week 16 Fantasy Basketball Recap  Stashes Adds Drops.mp3,1:00:11,55.22,,Trade Deadline Fallout  Week 16 Fantasy Basketball Recap  Stashes Adds Drops,
The 2024 NBA Trade Deadline Fantasy Wrap-Up,2024-02-08 20:38:52+00:00,Fantasy NBA Today/The 2024 NBA Trade Deadline Fantasy Wrap-Up.mp3,0:14:04,12.96,,The 2024 NBA Trade Deadline Fantasy Wrap-Up,
Simone Fontecchio & Xavier Tillman Traded: has the Trade Deadline Begun?,2024-02-07 19:55:53+00:00,Fantasy NBA Today/Simone Fontecchio  Xavier Tillman Traded has the Trade Deadline Begun.mp3,0:45:16,41.55,,Simone Fontecchio  Xavier Tillman Traded has the Trade Deadline Begun,
"Buy Low Players for Fantasy Basketball, Week 16",2024-02-06 22:31:14+00:00,Fantasy NBA Today/Buy Low Players for Fantasy Basketball Week 16.mp3,0:28:25,26.1,,Buy Low Players for Fantasy Basketball Week 16,
Joel Embiid Out at least 4 Weeks & 2 Days 'Til the Trade Deadline Update,2024-02-06 18:41:04+00:00,Fantasy NBA Today/Joel Embiid Out at least 4 Weeks  2 Days Til the Trade Deadline Update.mp3,0:56:28,51.81,,Joel Embiid Out at least 4 Weeks  2 Days Til the Trade Deadline Update,
"Fantasy Basketball ADDS for Week 16, Trade Deadline Stash Update & Weekend Review",2024-02-05 17:17:10+00:00,Fantasy NBA Today/Fantasy Basketball ADDS for Week 16 Trade Deadline Stash Update  Weekend Review.mp3,0:46:42,42.87,,Fantasy Basketball ADDS for Week 16 Trade Deadline Stash Update  Weekend Review,
Trade Deadline Must Stash Players for Fantasy Basketball - The Comprehensive List,2024-02-03 21:57:19+00:00,Fantasy NBA Today/Trade Deadline Must Stash Players for Fantasy Basketball - The Comprehensive List.mp3,0:58:17,53.48,,Trade Deadline Must Stash Players for Fantasy Basketball - The Comprehensive List,
"Trade Deadline, 6 Days Away | Week 15 Fantasy Basketball Recap",2024-02-02 19:01:21+00:00,Fantasy NBA Today/Trade Deadline 6 Days Away  Week 15 Fantasy Basketball Recap.mp3,0:45:45,41.99,,Trade Deadline 6 Days Away  Week 15 Fantasy Basketball Recap,
"Ayo Dosunmu and Other Adds, Drops and Streams",2024-02-01 18:14:52+00:00,Fantasy NBA Today/Ayo Dosunmu and Other Adds Drops and Streams.mp3,0:49:50,45.73,,Ayo Dosunmu and Other Adds Drops and Streams,
Time to ADD Paul Reed & Maybe Andrew Wiggins Too,2024-01-31 18:19:54+00:00,Fantasy NBA Today/Time to ADD Paul Reed  Maybe Andrew Wiggins Too.mp3,0:49:19,45.26,,Time to ADD Paul Reed  Maybe Andrew Wiggins Too,
The WORST Picks of the Fantasy Basketball Season (so far),2024-01-31 00:48:07+00:00,Fantasy NBA Today/The WORST Picks of the Fantasy Basketball Season so far.mp3,0:20:52,19.18,,The WORST Picks of the Fantasy Basketball Season so far,
Ben Simmons Returns... But for How Long & Luka Needs Help,2024-01-30 18:10:39+00:00,Fantasy NBA Today/Ben Simmons Returns But for How Long  Luka Needs Help.mp3,0:51:10,46.96,,Ben Simmons Returns But for How Long  Luka Needs Help,
"Buy Low Fantasy Basketball Players, Week 15",2024-01-29 22:54:33+00:00,Fantasy NBA Today/Buy Low Fantasy Basketball Players Week 15.mp3,0:21:21,19.63,,Buy Low Fantasy Basketball Players Week 15,
Fantasy Basketball ADDS for Week 15 & Trade Deadline Stash Update | Weekend Review,2024-01-29 19:08:09+00:00,Fantasy NBA Today/Fantasy Basketball ADDS for Week 15  Trade Deadline Stash Update  Weekend Review.mp3,1:06:46,61.25,,Fantasy Basketball ADDS for Week 15  Trade Deadline Stash Update  Weekend Review,
Trade Deadline Countdown | Week 14 Fantasy Basketball Recap,2024-01-26 18:48:34+00:00,Fantasy NBA Today/Trade Deadline Countdown  Week 14 Fantasy Basketball Recap.mp3,0:41:30,38.09,,Trade Deadline Countdown  Week 14 Fantasy Basketball Recap,
WES UNSELD OUT: Instant Fantasy Basketball Reaction | Wizards Trade Deadline,2024-01-25 17:50:48+00:00,Fantasy NBA Today/WES UNSELD OUT Instant Fantasy Basketball Reaction  Wizards Trade Deadline.mp3,0:44:27,40.81,,WES UNSELD OUT Instant Fantasy Basketball Reaction  Wizards Trade Deadline,
Fantasy Basketball PLAYERS TO STASH for the Trade Deadline | Part 2,2024-01-24 22:22:39+00:00,Fantasy NBA Today/Fantasy Basketball PLAYERS TO STASH for the Trade Deadline  Part 2.mp3,0:27:03,24.86,,Fantasy Basketball PLAYERS TO STASH for the Trade Deadline  Part 2,
Doc Rivers is Back | Bucks Make a Change,2024-01-24 18:13:55+00:00,Fantasy NBA Today/Doc Rivers is Back  Bucks Make a Change.mp3,0:39:00,35.8,,Doc Rivers is Back  Bucks Make a Change,
TERRY ROZIER TRADED: Instant Fantasy Basketball Reaction | Trade Deadline Heating Up,2024-01-23 17:59:40+00:00,Fantasy NBA Today/TERRY ROZIER TRADED Instant Fantasy Basketball Reaction  Trade Deadline Heating Up.mp3,0:58:00,53.21,,TERRY ROZIER TRADED Instant Fantasy Basketball Reaction  Trade Deadline Heating Up,
Fantasy Basketball ADDS for Week 14 & Trade Deadline Lookahead | Weekend Review,2024-01-22 18:15:16+00:00,Fantasy NBA Today/Fantasy Basketball ADDS for Week 14  Trade Deadline Lookahead  Weekend Review.mp3,0:58:35,53.75,,Fantasy Basketball ADDS for Week 14  Trade Deadline Lookahead  Weekend Review,
Fantasy Basketball PLAYERS TO STASH for the Trade Deadline,2024-01-20 23:52:16+00:00,Fantasy NBA Today/Fantasy Basketball PLAYERS TO STASH for the Trade Deadline.mp3,0:20:40,19,,Fantasy Basketball PLAYERS TO STASH for the Trade Deadline,
Trade Seal Broken! | Week 13 Fantasy Basketball Recap,2024-01-19 18:29:03+00:00,Fantasy NBA Today/Trade Seal Broken  Week 13 Fantasy Basketball Recap.mp3,0:50:35,46.42,,Trade Seal Broken  Week 13 Fantasy Basketball Recap,
"Buy Low Fantasy Basketball Players, Week 13",2024-01-18 22:25:08+00:00,Fantasy NBA Today/Buy Low Fantasy Basketball Players Week 13.mp3,0:27:27,25.23,,Buy Low Fantasy Basketball Players Week 13,
Jaden Ivey Unleashed: Fantasy Basketball Recap | Adds or Drops,2024-01-18 18:24:42+00:00,Fantasy NBA Today/Jaden Ivey Unleashed Fantasy Basketball Recap  Adds or Drops.mp3,0:52:04,47.78,,Jaden Ivey Unleashed Fantasy Basketball Recap  Adds or Drops,
Siakam Traded! Plus Legends of the Game Day with Doctor A & Aaron Bruski,2024-01-17 20:00:57+00:00,Fantasy NBA Today/Siakam Traded Plus Legends of the Game Day with Doctor A  Aaron Bruski.mp3,0:59:30,54.59,,Siakam Traded Plus Legends of the Game Day with Doctor A  Aaron Bruski,
"Kyrie, Hardaway Drop 40 Together! | MLK Day Fantasy Basketball Adds",2024-01-16 18:59:12+00:00,Fantasy NBA Today/Kyrie Hardaway Drop 40 Together  MLK Day Fantasy Basketball Adds.mp3,0:53:25,49.02,,Kyrie Hardaway Drop 40 Together  MLK Day Fantasy Basketball Adds,
